NextprotID,Anchor,GeneName,Chr,ProteinEvidence,PE,Missing
NX_Q6VEP3,,FAM138A,1,transcript level,PE2,1
NX_Q8NH21,,OR4F5,1,transcript level,PE2,1
NX_Q6IEY1,,OR4F16,1,transcript level,PE2,1
NX_Q6IEY1,,OR4F16,1,transcript level,PE2,1
NX_A6NHI5,,-,1,transcript level,PE2,1
NX_Q8N852,,FAM87B,1,transcript level,PE2,1
NX_Q96NU1,,SAMD11,1,protein level,PE1,0
NX_Q9Y3T9,,NOC2L,1,protein level,PE1,0
NX_Q6TDP4,,KLHL17,1,protein level,PE1,0
NX_Q494U1,,PLEKHN1,1,protein level,PE1,0
NX_Q5SV97,,C1orf170,1,protein level,PE1,0
NX_Q9HCC6,,HES4,1,protein level,PE1,0
NX_P05161,,ISG15,1,protein level,PE1,0
NX_O00468,,AGRN,1,protein level,PE1,0
NX_E7ERA6,,RNF223,1,protein level,PE1,0
NX_Q96HA4,,C1orf159,1,protein level,PE1,0
NX_Q6ZVT0,,TTLL10,1,protein level,PE1,0
NX_Q9Y5U5,,TNFRSF18,1,protein level,PE1,0
NX_P43489,,TNFRSF4,1,protein level,PE1,0
NX_Q9BRK5,,SDF4,1,protein level,PE1,0
NX_Q96L58,,B3GALT6,1,protein level,PE1,0
NX_Q5T7M4,,FAM132A,1,transcript level,PE2,1
NX_Q8N2K1,,UBE2J2,1,protein level,PE1,0
NX_P51172,,SCNN1D,1,protein level,PE1,0
NX_Q96P50,,ACAP3,1,protein level,PE1,0
NX_Q8N0Z8,,PUSL1,1,protein level,PE1,0
NX_Q5TA45,,CPSF3L,1,protein level,PE1,0
NX_Q5TA50,,GLTPD1,1,protein level,PE1,0
NX_Q7RTX0,,TAS1R3,1,protein level,PE1,0
NX_O14640,,DVL1,1,protein level,PE1,0
NX_Q9BRK3,,MXRA8,1,protein level,PE1,0
NX_Q9NWT8,,AURKAIP1,1,protein level,PE1,0
NX_Q96S94,,CCNL2,1,protein level,PE1,0
NX_Q9BYC9,,MRPL20,1,protein level,PE1,0
NX_E5RJM6,,ANKRD65,1,transcript level,PE2,1
NX_A6NKF7,,TMEM88B,1,homology,PE3,1
NX_Q6PCB0,,VWA1,1,protein level,PE1,0
NX_Q5T2N8,,ATAD3C,1,transcript level,PE2,1
NX_Q5T9A4,,ATAD3B,1,protein level,PE1,0
NX_Q9NVI7,,ATAD3A,1,protein level,PE1,0
NX_Q5SV17,,TMEM240,1,transcript level,PE2,1
NX_Q9NP77,,SSU72,1,protein level,PE1,0
NX_F2Z333,,C1orf233,1,predicted,PE4,1
NX_Q96AX9,,MIB2,1,protein level,PE1,0
NX_O75900,,MMP23B,1,protein level,PE1,0
NX_P0CK96,,SLC35E2B,1,transcript level,PE2,1
NX_P21127,,CDK11B,1,protein level,PE1,0
NX_Q9UQ88,,CDK11A,1,protein level,PE1,0
NX_P0CK97,,SLC35E2,1,transcript level,PE2,1
NX_O95544,,NADK,1,protein level,PE1,0
NX_P62873,,GNB1,1,protein level,PE1,0
NX_Q8TD86,,CALML6,1,transcript level,PE2,1
NX_Q8NDY8,,TMEM52,1,transcript level,PE2,1
NX_Q69YW0,,C1orf222,1,transcript level,PE2,1
NX_Q9C0B2,,KIAA1751,1,protein level,PE1,0
NX_O14764,,GABRD,1,protein level,PE1,0
NX_Q05513,,PRKCZ,1,protein level,PE1,0
NX_Q6NZ36,,FAAP20,1,protein level,PE1,0
NX_Q9H7Y2,,-,1,transcript level,PE2,1
NX_P12755,,SKI,1,protein level,PE1,0
NX_Q5T089,,MORN1,1,transcript level,PE2,1
NX_O15258,,RER1,1,protein level,PE1,0
NX_O60683,,PEX10,1,protein level,PE1,0
NX_O75038,,PLCH2,1,protein level,PE1,0
NX_Q9NVE7,,PANK4,1,protein level,PE1,0
NX_Q5TA89,,HES5,1,protein level,PE1,0
NX_Q92956,,TNFRSF14,1,protein level,PE1,0
NX_Q8TBF2,,FAM213B,1,protein level,PE1,0
NX_Q495T6,,MMEL1,1,protein level,PE1,0
NX_A8MYJ7,,TTC34,1,transcript level,PE2,1
NX_Q8TDY3,,ACTRT2,1,transcript level,PE2,1
NX_Q9HAZ2,,PRDM16,1,protein level,PE1,0
NX_Q5VV41,,ARHGEF16,1,protein level,PE1,0
NX_O75095,,MEGF6,1,protein level,PE1,0
NX_Q5T0D9,,TPRG1L,1,protein level,PE1,0
NX_Q9P2S5,,WRAP73,1,protein level,PE1,0
NX_O15350,,TP73,1,protein level,PE1,0
NX_Q9UF72,,TP73-AS1,1,uncertain,PE5,0
NX_Q2M243,,CCDC27,1,transcript level,PE2,1
NX_B2RUZ4,,SMIM1,1,protein level,PE1,0
