Protein,Anchor,Gene,Chromosome,Source,Score
A0A183,1,ENSG00000235942,1,PICR,3
A0A5B9,1,null,7,UniProt,3
A0AUZ9,1,ENSG00000144445,2,PICR,3
A0AUZ9-2,0,ENSG00000144445,2,PICR,3
A0AUZ9-3,0,ENSG00000144445,2,PICR,3
A0AUZ9-4,0,ENSG00000144445,2,PICR,3
A0AV02,1,ENSG00000221955,3,PICR,3
A0AV02-2,0,ENSG00000221955,3,PICR,3
A0AV02-3,0,ENSG00000221955,3,PICR,3
A0AV02-4,0,ENSG00000221955,3,PICR,3
A0AV02-5,0,ENSG00000221955,3,PICR,3
A0AV56,1,ENSG00000160633,19,PICR,3
A0AV96,1,ENSG00000163694,4,PICR,3
A0AV96-2,0,ENSG00000163694,4,PICR,3
A0AVF1,1,ENSG00000105948,7,PICR,3
A0AVF1-2,0,ENSG00000105948,7,PICR,3
A0AVF1-3,0,ENSG00000105948,7,PICR,3
A0AVG2,1,ENSG00000144481,2,PICR,3
A0AVI2,0,null,2,UniProt,3
A0AVI2-2,0,null,2,UniProt,3
A0AVI2-3,0,null,2,UniProt,3
A0AVI4,1,ENSG00000168936,4,PICR,3
A0AVI4-2,0,ENSG00000168936,4,PICR,3
A0AVK6,1,ENSG00000129173,11,PICR,3
A0AVL1,1,ENSG00000168615,8,PICR,3
A0AVT1,1,ENSG00000033178,4,PICR,3
A0AVT1-2,0,ENSG00000033178,4,PICR,3
A0AVT1-3,0,ENSG00000033178,4,PICR,3
A0AVT1-4,0,ENSG00000033178,4,PICR,3
A0FGR8,1,ENSG00000117868,7,PICR,3
A0FGR8-2,0,ENSG00000117868,7,PICR,3
A0FGR8-4,0,ENSG00000117868,7,PICR,3
A0FGR8-5,0,ENSG00000117868,7,PICR,3
A0FGR8-6,0,ENSG00000117868,7,PICR,3
A0FGR9,1,ENSG00000158220,3,PICR,3
A0FGR9-2,0,ENSG00000158220,3,PICR,3
A0JLT2,1,ENSG00000156603,11,PICR,3
A0JLT2-2,0,ENSG00000156603,11,PICR,3
A0JNW5,1,ENSG00000111647,12,PICR,3
A0JNW5-2,0,ENSG00000111647,12,PICR,3
A0JP02,1,ENSG00000052126,12,PICR,3
A0MZ66,1,ENSG00000187164,10,PICR,3
A0MZ66-2,0,ENSG00000187164,10,PICR,3
A0MZ66-3,0,ENSG00000187164,10,PICR,3
A0MZ66-4,0,ENSG00000187164,10,PICR,3
A0MZ66-5,0,ENSG00000187164,10,PICR,3
A0MZ66-6,0,ENSG00000187164,10,PICR,3
A0MZ66-7,0,ENSG00000187164,10,PICR,3
A0MZ66-8,0,ENSG00000187164,10,PICR,3
A0PG75,1,ENSG00000231213,3,PICR,3
A0PJE2,1,ENSG00000102796,13,PICR,3
A0PJE2-2,0,ENSG00000102796,13,PICR,3
A0PJE2-3,0,ENSG00000102796,13,PICR,3
A0PJK1,1,ENSG00000154025,17,PICR,3
A0PJK1-2,0,ENSG00000154025,17,PICR,3
A0PJK1-3,0,ENSG00000154025,17,PICR,3
A0PJK1-4,0,ENSG00000154025,17,PICR,3
A0PJK1-5,0,ENSG00000154025,17,PICR,3
A0PJM3,1,ENSG00000223524,8,PICR,1
A0PJW6,1,ENSG00000168569,11,PICR,3
A0PJW8,1,ENSG00000163331,2,PICR,3
A0PJX0,1,ENSG00000157884,2,PICR,3
A0PJX2,1,ENSG00000101342,20,PICR,3
A0PJX4,1,ENSG00000178343,4,PICR,3
A0PJX5,1,ENSG00000188487,11,PICR,3
A0PJX8,1,ENSG00000162460,1,PICR,3
A0PJY2,1,ENSG00000128610,7,PICR,3
A0PJY2-2,0,ENSG00000128610,7,PICR,3
A0PJY2-3,0,ENSG00000128610,7,PICR,3
A0PJZ0,0,null,18,UniProt,3
A0PJZ3,1,ENSG00000172986,3,PICR,3
A0PK00,1,ENSG00000188735,12,PICR,3
A0PK03,1,ENSG00000155495,X,PICR,3
A0PK05,1,ENSG00000187783,10,PICR,3
A0PK05-2,0,ENSG00000187783,10,PICR,3
A0PK07,1,ENSG00000269402,17,PICR,3
A0PK11,1,ENSG00000249581,4,PICR,3
A0PK19,1,ENSG00000182585,4,PICR,3
A0RZB6,1,ENSG00000120725,5,PICR,3
A0SDD8,1,ENSG00000113946,3,PICR,3
A0T4C8,1,ENSG00000063176,19,PICR,3
A0ZSE6,1,ENSG00000235156,3,PICR,3
A1A441,1,ENSG00000138814,4,PICR,3
A1A4F0,1,ENSG00000174899,3,PICR,3
A1A4F0-2,0,ENSG00000174899,3,PICR,3
A1A4F0-3,0,ENSG00000174899,3,PICR,3
A1A4F0-4,0,ENSG00000174899,3,PICR,3
A1A4G5,1,ENSG00000206535,3,PICR,3
A1A4S6,1,ENSG00000071205,4,PICR,3
A1A4T8,1,ENSG00000214900,14,PICR,3
A1A4T8-2,0,ENSG00000214900,14,PICR,3
A1A4V9,1,ENSG00000196118,16,PICR,3
A1A4V9-2,0,ENSG00000196118,16,PICR,3
A1A4V9-3,0,ENSG00000196118,16,PICR,3
A1A4V9-4,0,ENSG00000196118,16,PICR,3
A1A4Y4,1,ENSG00000237693,5,PICR,3
A1A4Z1,1,ENSG00000164675,7,PICR,3
A1A519,1,ENSG00000164334,5,PICR,3
A1A519-2,0,ENSG00000164334,5,PICR,3
A1A519-3,0,ENSG00000164334,5,PICR,3
A1A519-4,0,ENSG00000164334,5,PICR,3
A1A528,1,ENSG00000086827,11,PICR,3
A1A580,1,ENSG00000186980,21,PICR,3
A1A5A8,1,ENSG00000160584,11,PICR,3
A1A5A9,0,ENSG00000160584,11,PICR,3
A1A5B4,1,ENSG00000185101,11,PICR,3
A1A5B4-2,0,ENSG00000185101,11,PICR,3
A1A5B4-3,0,ENSG00000185101,11,PICR,3
A1A5C7,1,ENSG00000137266,6,PICR,3
A1A5C7-2,0,ENSG00000137266,6,PICR,3
A1A5C7-3,0,ENSG00000137266,6,PICR,3
A1A5C7-4,0,ENSG00000137266,6,PICR,3
A1A5D2,1,ENSG00000004777,19,PICR,3
A1A5D9,1,ENSG00000162069,16,PICR,3
A1A5D9-2,0,ENSG00000162069,16,PICR,3
A1BQX2,1,ENSG00000152939,5,PICR,3
A1E959,1,ENSG00000109205,4,PICR,3
A1IGU5,1,ENSG00000183111,5,PICR,3
A1KXE4,1,ENSG00000152102,2,PICR,3
A1KXE4-2,0,ENSG00000152102,2,PICR,3
A1KZ92,1,ENSG00000147485,8,PICR,3
A1KZ92-2,0,ENSG00000147485,8,PICR,3
A1KZ92-3,0,ENSG00000147485,8,PICR,1
A1L020,1,ENSG00000254726,1,PICR,3
A1L0T0,1,ENSG00000105135,19,PICR,3
A1L157,1,ENSG00000110900,12,PICR,3
A1L162,1,ENSG00000204334,2,PICR,3
A1L167,1,ENSG00000215218,5,PICR,3
A1L168,1,ENSG00000215595,20,PICR,3
A1L170,1,ENSG00000239887,1,PICR,3
A1L170-2,0,ENSG00000239887,1,PICR,3
A1L188,1,ENSG00000224877,17,PICR,3
A1L190,1,ENSG00000217442,22,PICR,3
A1L1A6,1,ENSG00000216588,19,PICR,3
A1L390,1,ENSG00000126822,14,PICR,3
A1L390-2,0,ENSG00000126822,14,PICR,3
A1L390-3,0,ENSG00000126822,14,PICR,3
A1L3A6,1,ENSG00000108256,17,PICR,3
A1L3X0,1,ENSG00000164181,5,PICR,3
A1L3X4,1,ENSG00000228695,16,Manual,3
A1L429,1,ENSG00000269465,HG1436_HG1432_PATCH,PICR,3
A1L443,1,ENSG00000130950,9,PICR,3
A1L453,1,ENSG00000185888,1,PICR,3
A1L456,1,ENSG00000204669,9,PICR,3
A1L4H1,1,ENSG00000179954,19,PICR,3
A1L4H1-2,0,ENSG00000179954,19,PICR,3
A1L4K1,1,ENSG00000186628,15,PICR,3
A1L4L8,1,ENSG00000173261,5,PICR,3
A1L4M7,0,null,21,UniProt,3
A1L4Q6,0,null,11,UniProt,3
